8.3 2000
350 200
768 2058 51 51

Coordinates
1         23.5            0            0
2         23.5          1.2            0
3         23.5            0       1.7962
4       21.699            0            0
5       21.731          1.2            0
6         23.5          1.2       1.7962
7       21.499          1.2       2.0116
8       21.235            0       2.2961
9         23.5            0       3.6499
10       19.804            0            0
11       19.868          1.2            0
12         23.5          1.2       3.6499
13       21.504            0       4.6109
14       19.292          1.2       2.6047
15        18.81            0       2.0128
16       21.504          1.2       4.6109
17       19.827            0       4.0027
18         23.5            0        5.572
19       17.816            0            0
20         23.5          1.2        5.572
21       17.912          1.2            0
22       21.129            0       6.2702
23       21.487          1.2        6.567
24       19.483          1.2       5.5718
25       16.889          1.2       2.0128
26       16.777            0       2.0128
27       17.526            0       3.9238
28       17.707          1.2       4.0695
29         23.5            0       7.5619
30         23.5          1.2       7.5619
31       15.867          1.2            0
32       15.738            0            0
33       18.328            0       6.2654
34       19.734            0       7.9179
35       21.487            0       8.5904
36       15.354            0       3.4678
37        19.59          1.2       7.8722
38       14.763            0       1.5457
39       17.284          1.2       6.2431
40       21.487          1.2       8.5904
41       15.587          1.2        3.915
42       16.267            0       5.3012
43         14.8          1.2       2.0128
44         23.5            0       9.6189
45         23.5          1.2       9.6189
46       13.733          1.2            0
47       13.572            0            0
48       17.869            0       8.8709
49       19.577            0        9.883
50       15.947            0       7.5709
51        21.96          1.2        10.58
52       12.906            0       2.4079
53       21.487            0        10.68
54       13.334          1.2       3.7334
55       14.299          1.2       5.8305
56       15.608          1.2       7.6776
57       13.898            0       5.5685
58       12.625          1.2       2.0128
59       19.883          1.2        10.83
60       17.126          1.2       9.5188
61         23.5            0       11.741
62         23.5          1.2       11.741
63       11.517          1.2            0
64       11.323            0            0
65       15.795            0       9.8865
66        17.66            0       11.171
67       19.757            0       12.139
68       12.141          1.2       5.6974
69       13.344          1.2        7.672
70       11.319            0       4.0256
71       21.634          1.2       12.679
72       11.118          1.2       3.6394
73       21.487            0       12.835
74       13.784            0       8.7279
75       10.405          1.2       2.0128
76        10.19            0       2.0128
77       14.138          1.2       10.036
78       17.527          1.2       12.457
79         23.5            0       13.928
80       11.772            0       7.5744
81         23.5          1.2       13.928
82       15.564          1.2        11.54
83       9.2936          1.2            0
84       15.828            0       12.151
85        9.058            0            0
86       17.804            0       13.351
87       19.474          1.2       13.944
88       10.013          1.2       5.6496
89       11.032          1.2       7.6858
90       13.799            0       11.048
91       19.871            0       14.354
92       9.7757            0       5.9184
93       12.151          1.2       9.6622
94       8.9989            0       4.0036
95       8.9182          1.2       3.6341
96       21.487            0       15.052
97       21.487          1.2       15.052
98       11.796            0       9.8936
99       8.1819          1.2       2.0128
100       7.9258            0       2.0128
101       15.595          1.2       13.821
102       13.567          1.2       12.708
103         23.5            0       16.177
104         23.5          1.2       16.177
105       17.521          1.2       15.092
106       15.822            0       14.463
107       17.863            0       15.462
108       7.0702          1.2            0
109       13.852            0       13.368
110       19.587          1.2       16.023
111       11.607          1.2       11.473
112       8.9795            0       7.9926
113       8.7223          1.2        7.568
114       7.8377          1.2       5.6577
115       6.7935            0            0
116         9.81          1.2       9.6183
117       7.8096            0       5.9959
118       11.841            0       12.205
119       19.881            0       16.551
120       6.7174          1.2       3.6558
121       6.6906            0       3.9633
122       22.058            0       17.273
123       21.487          1.2        17.31
124       9.8061            0       11.088
125       5.9585          1.2       2.0128
126       5.6613            0       2.0128
127       13.546          1.2       14.907
128       15.519          1.2       16.127
129       17.543          1.2       17.116
130       11.339          1.2       13.575
131       15.958            0        16.77
132       13.859            0       15.675
133         23.5            0       18.443
134         23.5          1.2       18.443
135        7.805            0       9.9953
136       9.1485          1.2       11.791
137       11.843            0       14.528
138       6.6654            0       7.9725
139       6.4535          1.2       7.4587
140        7.491          1.2       9.5238
141       4.8468          1.2            0
142       19.525          1.2       18.317
143       5.6346          1.2       5.6798
144       5.5117            0       5.9579
145        4.529            0            0
146       17.741            0       18.169
147       21.693            0       19.153
148       9.6322            0       13.403
149       4.5107          1.2       3.6784
150       4.3958            0       3.9274
151       13.759          1.2       16.876
152       21.487          1.2       19.545
153       3.7351          1.2       2.0128
154       15.648          1.2        18.43
155       11.562          1.2       16.105
156       3.3968            0       2.0128
157       13.975            0       17.968
158       15.743            0       18.816
159       7.6617      0.73377       12.851
160       17.719          1.2       19.586
161       11.907            0       16.923
162       5.2917          1.2       9.4471
163       5.4896            0       9.9765
164       19.733            0       20.282
165         23.5            0       20.648
166         23.5          1.2       20.648
167        6.631            0       11.999
168       19.636          1.2       20.304
169       6.3212          1.2       11.497
170       4.3439            0       7.9551
171       8.6004          1.2       14.468
172       9.8692            0       15.832
173       2.6234          1.2            0
174        3.944          1.2       7.3774
175       2.2645            0            0
176       2.9099          1.2       5.3452
